Dimension BlockSize Time(s)
100 16 0.000935
100 32 0.000674
100 64 0.000336
100 128 0.000406
200 16 0.003330
200 32 0.005077
200 64 0.003147
200 128 0.002099
300 16 0.027337
300 32 0.010591
300 64 0.007753
300 128 0.010708
400 16 0.037775
400 32 0.026333
400 64 0.019340
400 128 0.021171
500 16 0.035299
500 32 0.025248
500 64 0.028572
500 128 0.031666
600 16 0.056893
600 32 0.048647
600 64 0.041104
600 128 0.056203
700 16 0.089901
700 32 0.090087
700 64 0.073736
700 128 0.123467
800 16 0.184882
800 32 0.144041
800 64 0.124126
800 128 0.264392
900 16 0.214573
900 32 0.165485
900 64 0.157049
900 128 0.241772
1000 16 0.395476
1000 32 0.330401
1000 64 0.340509
1000 128 0.447312
